,index,Season,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,GF,GA,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages ($)
71,1,2021-2022,2,Dortmund,95,25.9,59.2,34,22,3,85,52,69,2.03,64.0,46.3,17.7,0.52,41800,"91,995,216"
72,4,2021-2022,3,Leverkusen,84,24.4,53.7,34,19,7,80,47,64,1.88,62.6,44.0,18.6,0.55,17356,"52,779,797"
73,3,2021-2022,4,RB Leipzig,85,25.3,56.1,34,17,7,72,37,58,1.71,64.5,40.1,24.5,0.72,22124,"55,052,414"
74,11,2021-2022,5,Union Berlin,90,28.3,43.7,34,16,9,50,44,57,1.68,47.0,38.5,8.5,0.25,14046,"21,859,946"
75,16,2021-2022,6,Freiburg,78,26.5,49.0,34,15,10,58,46,55,1.62,50.4,44.0,6.4,0.19,18741,"12,249,724"
76,9,2021-2022,7,Köln,90,27.0,54.8,34,14,10,52,49,52,1.53,50.1,50.6,-0.6,-0.02,31965,"29,493,089"
77,6,2021-2022,9,Hoffenheim,96,26.1,53.2,34,13,7,58,60,46,1.35,58.3,54.6,3.7,0.11,11227,"41,039,628"
78,12,2021-2022,8,Mainz 05,81,26.2,46.5,34,13,7,50,45,46,1.35,50.4,43.9,6.5,0.19,17978,"17,508,339"
79,5,2021-2022,10,M'Gladbach,80,26.0,54.0,34,12,9,54,61,45,1.32,56.2,55.0,1.2,0.04,26539,"48,183,602"
80,8,2021-2022,11,Eint Frankfurt,97,26.2,49.6,34,10,12,45,49,42,1.24,41.6,47.0,-5.4,-0.16,26162,"36,698,211"
81,14,2021-2022,13,Bochum,91,28.0,44.7,34,12,6,38,52,42,1.24,40.6,55.8,-15.1,-0.46,14236,"13,768,197"
82,2,2021-2022,12,Wolfsburg,93,26.0,50.5,34,12,6,43,54,42,1.24,47.7,47.3,0.4,0.01,12018,"62,705,941"
83,10,2021-2022,14,Augsburg,86,26.6,41.5,34,10,8,39,56,38,1.12,36.7,57.9,-21.2,-0.62,15197,"24,458,682"
84,7,2021-2022,16,Hertha BSC,91,26.7,43.7,34,9,6,37,71,33,0.97,33.3,54.3,-21.0,-0.62,23500,"38,175,924"
85,13,2021-2022,15,Stuttgart,97,24.0,50.7,34,7,12,41,59,33,0.97,43.7,54.0,-10.2,-0.3,27052,"16,040,818"
86,17,2021-2022,17,Arminia,76,25.8,40.7,34,5,13,27,53,28,0.82,26.3,62.8,-36.6,-1.08,16773,"10,833,157"
87,15,2021-2022,18,Greuther Fürth,92,25.9,43.6,34,3,9,28,82,18,0.53,30.0,60.2,-30.2,-0.89,7672,"12,942,721"
