,Season,Wk,Date,Time,Home,Away,Home Score,Away Score,xG Home,xG Away,Attendance,Venue,Referee,xG Diff,Actual Diff,League
1060,2019-2020,20.0,2020-01-11,20:00,Nîmes,Reims,2,0,1.7,0.3,11867.0,Stade des Costières,Olivier Thual,1.4,2.0,Ligue1
1061,2019-2020,20.0,2020-01-11,20:00,Amiens,Montpellier,1,2,0.9,0.7,10205.0,Stade Crédit Agricole la Licorne,Karim Abed,0.20000000000000007,-1.0,Ligue1
1062,2019-2020,20.0,2020-01-11,20:00,Metz,Strasbourg,1,0,0.9,1.1,18079.0,Stade Saint-Symphorien,Jérôme Brisard,-0.20000000000000007,1.0,Ligue1
1063,2019-2020,20.0,2020-01-11,20:00,Toulouse,Brest,2,5,0.9,1.8,13666.0,Stadium Municipal,Hakim Ben El Hadj Salem,-0.9,-3.0,Ligue1
1064,2019-2020,20.0,2020-01-12,15:00,Saint-Étienne,Nantes,0,2,0.5,1.2,,Stade Geoffroy-Guichard,Benoît Bastien,-0.7,-2.0,Ligue1
1065,2019-2020,20.0,2020-01-12,17:00,Dijon,Lille,1,0,1.2,0.6,12115.0,Stade Gaston Gérard,Franck Schneider,0.6,1.0,Ligue1
1066,2019-2020,20.0,2020-01-12,21:00,Paris S-G,Monaco,3,3,2.5,2.3,47580.0,Parc des Princes,Antony Gautier,0.20000000000000018,0.0,Ligue1
1068,2019-2020,12.0,2020-01-15,19:00,Nîmes,Rennes,0,1,0.3,0.6,12388.0,Stade des Costières,Willy Delajod,-0.3,-1.0,Ligue1
1070,2019-2020,16.0,2020-01-15,19:00,Amiens,Reims,1,1,1.0,0.3,10712.0,Stade Crédit Agricole la Licorne,Johan Hamel,0.7,0.0,Ligue1
1072,2019-2020,15.0,2020-01-15,21:00,Monaco,Paris S-G,1,4,1.1,3.6,11214.0,Stade Louis II.,François Letexier,-2.5,-3.0,Ligue1
1074,2019-2020,21.0,2020-01-24,20:45,Nice,Rennes,1,1,2.1,2.4,15199.0,Stade de Nice,Hakim Ben El Hadj Salem,-0.2999999999999998,0.0,Ligue1
1075,2019-2020,21.0,2020-01-25,17:30,Marseille,Angers,0,0,0.4,0.2,55761.0,Orange Vélodrome,Johan Hamel,0.2,0.0,Ligue1
1076,2019-2020,21.0,2020-01-25,20:00,Montpellier,Dijon,2,1,1.7,0.4,11129.0,Stade de la Mosson,Jérôme Miguelgorry,1.2999999999999998,1.0,Ligue1
1077,2019-2020,21.0,2020-01-25,20:00,Monaco,Strasbourg,1,3,1.0,1.1,4800.0,Stade Louis II.,Eric Wattellier,-0.10000000000000009,-2.0,Ligue1
1078,2019-2020,21.0,2020-01-25,20:00,Reims,Metz,0,1,0.8,1.1,11818.0,Stade Auguste-Delaune II,Jérémie Pignard,-0.30000000000000004,-1.0,Ligue1
1079,2019-2020,21.0,2020-01-25,20:00,Saint-Étienne,Nîmes,2,1,2.0,0.9,23927.0,Stade Geoffroy-Guichard,Jeremy Stinat,1.1,1.0,Ligue1
1080,2019-2020,21.0,2020-01-25,20:00,Brest,Amiens,2,1,0.8,1.1,12866.0,Stade Francis-Le Blé,Thomas Léonard,-0.30000000000000004,1.0,Ligue1
1081,2019-2020,21.0,2020-01-26,15:00,Lyon,Toulouse,3,0,0.8,0.4,42582.0,Groupama Stadium,Antony Gautier,0.4,3.0,Ligue1
1082,2019-2020,21.0,2020-01-26,17:00,Nantes,Bordeaux,0,1,0.2,0.7,29839.0,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,-0.49999999999999994,-1.0,Ligue1
1083,2019-2020,21.0,2020-01-26,21:00,Lille,Paris S-G,0,2,0.5,2.0,49132.0,Stade Pierre-Mauroy,Amaury Delerue,-1.5,-2.0,Ligue1
1085,2019-2020,22.0,2020-01-31,20:45,Rennes,Nantes,3,2,2.3,0.9,27836.0,Roazhon Park,Benoît Millot,1.4,1.0,Ligue1
1086,2019-2020,22.0,2020-02-01,17:30,Paris S-G,Montpellier,5,0,2.9,0.2,47701.0,Parc des Princes,Jérôme Brisard,2.6999999999999997,5.0,Ligue1
1087,2019-2020,22.0,2020-02-01,20:00,Angers,Reims,1,4,1.3,1.4,8467.0,Stade Raymond Kopa,Amaury Delerue,-0.09999999999999987,-3.0,Ligue1
1088,2019-2020,22.0,2020-02-01,20:00,Strasbourg,Lille,1,2,1.3,1.5,25139.0,Stade de la Meinau,Stéphanie Frappart,-0.19999999999999996,-1.0,Ligue1
1089,2019-2020,22.0,2020-02-01,20:00,Nîmes,Monaco,3,1,1.9,0.9,12580.0,Stade des Costières,Mikael Lesage,0.9999999999999999,2.0,Ligue1
1090,2019-2020,22.0,2020-02-01,20:00,Amiens,Toulouse,0,0,0.9,1.0,10992.0,Stade Crédit Agricole la Licorne,François Letexier,-0.09999999999999998,0.0,Ligue1
1091,2019-2020,22.0,2020-02-01,20:00,Dijon,Brest,3,0,1.5,1.4,11212.0,Stade Gaston Gérard,Olivier Thual,0.10000000000000009,3.0,Ligue1
1092,2019-2020,22.0,2020-02-02,15:00,Nice,Lyon,2,1,1.5,1.7,23553.0,Stade de Nice,Benoît Bastien,-0.19999999999999996,1.0,Ligue1
1093,2019-2020,22.0,2020-02-02,17:00,Metz,Saint-Étienne,3,1,0.9,2.4,15636.0,Stade Saint-Symphorien,Antony Gautier,-1.5,2.0,Ligue1
1094,2019-2020,22.0,2020-02-02,21:00,Bordeaux,Marseille,0,0,1.3,0.6,36196.0,Stade Matmut-Atlantique,Ruddy Buquet,0.7000000000000001,0.0,Ligue1
1096,2019-2020,23.0,2020-02-04,19:00,Monaco,Angers,1,0,0.3,1.2,3585.0,Stade Louis II.,Jeremy Stinat,-0.8999999999999999,1.0,Ligue1
1097,2019-2020,23.0,2020-02-04,19:00,Lille,Rennes,1,0,0.8,0.5,35030.0,Stade Pierre-Mauroy,Johan Hamel,0.30000000000000004,1.0,Ligue1
1098,2019-2020,23.0,2020-02-04,21:05,Nantes,Paris S-G,1,2,2.7,3.6,34307.0,Stade de la Beaujoire - Louis Fonteneau,Franck Schneider,-0.8999999999999999,-1.0,Ligue1
1099,2019-2020,23.0,2020-02-05,19:00,Brest,Bordeaux,1,1,2.1,1.1,13034.0,Stade Francis-Le Blé,Willy Delajod,1.0,0.0,Ligue1
1100,2019-2020,23.0,2020-02-05,19:00,Lyon,Amiens,0,0,0.5,0.3,36670.0,Groupama Stadium,Jérôme Miguelgorry,0.2,0.0,Ligue1
1101,2019-2020,23.0,2020-02-05,19:00,Montpellier,Metz,1,1,0.5,1.7,10786.0,Stade de la Mosson,Hakim Ben El Hadj Salem,-1.2,0.0,Ligue1
1102,2019-2020,23.0,2020-02-05,19:00,Reims,Nice,1,1,1.6,0.8,11384.0,Stade Auguste-Delaune II,Eric Wattellier,0.8,0.0,Ligue1
1103,2019-2020,23.0,2020-02-05,19:00,Nîmes,Dijon,2,0,1.4,0.6,11705.0,Stade des Costières,Florent Batta,0.7999999999999999,2.0,Ligue1
1104,2019-2020,23.0,2020-02-05,19:00,Toulouse,Strasbourg,0,1,0.8,1.4,16596.0,Stadium Municipal,Karim Abed,-0.5999999999999999,-1.0,Ligue1
1105,2019-2020,23.0,2020-02-05,21:00,Saint-Étienne,Marseille,0,2,0.6,0.5,29074.0,Stade Geoffroy-Guichard,Jérôme Brisard,0.09999999999999998,-2.0,Ligue1
1107,2019-2020,24.0,2020-02-07,20:45,Angers,Lille,0,2,0.6,1.6,9145.0,Stade Raymond Kopa,Benoît Bastien,-1.0,-2.0,Ligue1
1108,2019-2020,24.0,2020-02-08,17:30,Marseille,Toulouse,1,0,0.8,1.7,53995.0,Orange Vélodrome,Stéphanie Frappart,-0.8999999999999999,1.0,Ligue1
1109,2019-2020,24.0,2020-02-08,20:00,Nice,Nîmes,1,3,0.7,1.3,15603.0,Stade de Nice,Antony Gautier,-0.6000000000000001,-2.0,Ligue1
1110,2019-2020,24.0,2020-02-08,20:00,Metz,Bordeaux,1,2,0.7,2.3,15054.0,Stade Saint-Symphorien,François Letexier,-1.5999999999999999,-1.0,Ligue1
1111,2019-2020,24.0,2020-02-08,20:00,Dijon,Nantes,3,3,1.2,0.6,11780.0,Stade Gaston Gérard,Jérémie Pignard,0.6,0.0,Ligue1
1112,2019-2020,24.0,2020-02-08,20:00,Amiens,Monaco,1,2,0.4,1.3,11683.0,Stade Crédit Agricole la Licorne,Olivier Thual,-0.9,-1.0,Ligue1
1113,2019-2020,24.0,2020-02-08,20:00,Rennes,Brest,0,0,1.0,0.5,28436.0,Roazhon Park,Ruddy Buquet,0.5,0.0,Ligue1
1114,2019-2020,24.0,2020-02-09,15:00,Montpellier,Saint-Étienne,1,0,0.7,1.5,14669.0,Stade de la Mosson,Amaury Delerue,-0.8,1.0,Ligue1
1115,2019-2020,24.0,2020-02-09,17:00,Strasbourg,Reims,3,0,2.8,0.3,25241.0,Stade de la Meinau,Thomas Léonard,2.5,3.0,Ligue1
1116,2019-2020,24.0,2020-02-09,21:00,Paris S-G,Lyon,4,2,1.7,1.0,47000.0,Parc des Princes,Clément Turpin,0.7,2.0,Ligue1
1118,2019-2020,25.0,2020-02-14,20:45,Monaco,Montpellier,1,0,1.9,1.0,4384.0,Stade Louis II.,Ruddy Buquet,0.8999999999999999,1.0,Ligue1
1119,2019-2020,25.0,2020-02-15,17:30,Amiens,Paris S-G,4,4,1.3,3.2,12964.0,Stade Crédit Agricole la Licorne,Hakim Ben El Hadj Salem,-1.9000000000000001,0.0,Ligue1
1120,2019-2020,25.0,2020-02-15,20:00,Bordeaux,Dijon,2,2,1.4,0.9,13701.0,Stade Matmut-Atlantique,Mikael Lesage,0.4999999999999999,0.0,Ligue1
1121,2019-2020,25.0,2020-02-15,20:00,Toulouse,Nice,0,2,2.3,1.4,12903.0,Stadium Municipal,Jérôme Miguelgorry,0.8999999999999999,-2.0,Ligue1
1122,2019-2020,25.0,2020-02-15,20:00,Nantes,Metz,0,0,1.4,0.4,20444.0,Stade de la Beaujoire - Louis Fonteneau,Jeremy Stinat,0.9999999999999999,0.0,Ligue1
1123,2019-2020,25.0,2020-02-15,20:00,Nîmes,Angers,1,0,1.2,0.5,12417.0,Stade des Costières,Karim Abed,0.7,1.0,Ligue1
1124,2019-2020,25.0,2020-02-16,15:00,Lyon,Strasbourg,1,1,1.0,1.4,45141.0,Groupama Stadium,Johan Hamel,-0.3999999999999999,0.0,Ligue1
1125,2019-2020,25.0,2020-02-16,17:00,Brest,Saint-Étienne,3,2,2.0,1.7,13399.0,Stade Francis-Le Blé,Eric Wattellier,0.30000000000000004,1.0,Ligue1
1126,2019-2020,25.0,2020-02-16,17:00,Reims,Rennes,1,0,1.3,0.2,13026.0,Stade Auguste-Delaune II,Florent Batta,1.1,1.0,Ligue1
1127,2019-2020,25.0,2020-02-16,21:00,Lille,Marseille,1,2,1.3,1.6,47314.0,Stade Pierre-Mauroy,Franck Schneider,-0.30000000000000004,-1.0,Ligue1
1129,2019-2020,26.0,2020-02-21,19:00,Nice,Brest,2,2,1.8,0.8,15856.0,Stade de Nice,Jérémie Pignard,1.0,0.0,Ligue1
1130,2019-2020,26.0,2020-02-21,20:45,Metz,Lyon,0,2,0.3,1.9,18247.0,Stade Saint-Symphorien,Eric Wattellier,-1.5999999999999999,-2.0,Ligue1
1131,2019-2020,26.0,2020-02-22,17:30,Marseille,Nantes,1,3,0.9,0.7,60430.0,Orange Vélodrome,Jérôme Miguelgorry,0.20000000000000007,-2.0,Ligue1
1132,2019-2020,26.0,2020-02-22,20:00,Lille,Toulouse,3,0,2.3,0.4,37034.0,Stade Pierre-Mauroy,Thomas Léonard,1.9,3.0,Ligue1
1133,2019-2020,26.0,2020-02-22,20:00,Dijon,Monaco,1,1,1.9,2.1,13657.0,Stade Gaston Gérard,François Letexier,-0.20000000000000018,0.0,Ligue1
1134,2019-2020,26.0,2020-02-22,20:00,Strasbourg,Amiens,0,0,0.8,0.1,26109.0,Stade de la Meinau,Amaury Delerue,0.7000000000000001,0.0,Ligue1
1135,2019-2020,26.0,2020-02-22,20:00,Angers,Montpellier,1,0,1.1,0.8,9453.0,Stade Raymond Kopa,Antony Gautier,0.30000000000000004,1.0,Ligue1
1136,2019-2020,26.0,2020-02-23,15:00,Saint-Étienne,Reims,1,1,0.6,1.2,24868.0,Stade Geoffroy-Guichard,Benoît Bastien,-0.6,0.0,Ligue1
1137,2019-2020,26.0,2020-02-23,17:00,Rennes,Nîmes,2,1,2.5,0.4,28084.0,Roazhon Park,Stéphanie Frappart,2.1,1.0,Ligue1
1138,2019-2020,26.0,2020-02-23,21:00,Paris S-G,Bordeaux,4,3,5.1,1.5,47771.0,Parc des Princes,Willy Delajod,3.5999999999999996,1.0,Ligue1
1140,2019-2020,27.0,2020-02-28,20:45,Nîmes,Marseille,2,3,1.8,1.9,13755.0,Stade des Costières,Clément Turpin,-0.09999999999999987,-1.0,Ligue1
1141,2019-2020,27.0,2020-02-29,17:30,Paris S-G,Dijon,4,0,3.6,0.4,47542.0,Parc des Princes,Karim Abed,3.2,4.0,Ligue1
1142,2019-2020,27.0,2020-02-29,20:00,Brest,Angers,0,1,1.2,0.3,13313.0,Stade Francis-Le Blé,Florent Batta,0.8999999999999999,-1.0,Ligue1
1143,2019-2020,27.0,2020-02-29,20:00,Monaco,Reims,1,1,2.1,1.2,4237.0,Stade Louis II.,Hakim Ben El Hadj Salem,0.9000000000000001,0.0,Ligue1
1144,2019-2020,27.0,2020-02-29,20:00,Montpellier,Strasbourg,3,0,3.5,0.9,11799.0,Stade de la Mosson,Mikael Lesage,2.6,3.0,Ligue1
1145,2019-2020,27.0,2020-02-29,20:00,Amiens,Metz,0,1,1.3,0.8,12375.0,Stade Crédit Agricole la Licorne,Johan Hamel,0.5,-1.0,Ligue1
1146,2019-2020,27.0,2020-02-29,20:00,Toulouse,Rennes,0,2,0.9,1.2,13301.0,Stadium Municipal,Jeremy Stinat,-0.29999999999999993,-2.0,Ligue1
1147,2019-2020,27.0,2020-03-01,15:00,Nantes,Lille,0,1,0.4,2.2,20704.0,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,-1.8000000000000003,-1.0,Ligue1
1148,2019-2020,27.0,2020-03-01,17:00,Bordeaux,Nice,1,1,1.8,0.5,15799.0,Stade Matmut-Atlantique,Benoît Millot,1.3,0.0,Ligue1
1149,2019-2020,27.0,2020-03-01,21:00,Lyon,Saint-Étienne,2,0,2.9,0.4,52772.0,Groupama Stadium,Franck Schneider,2.5,2.0,Ligue1
1151,2019-2020,28.0,2020-03-06,21:00,Marseille,Amiens,2,2,1.1,2.1,49748.0,Orange Vélodrome,François Letexier,-1.0,0.0,Ligue1
1152,2019-2020,28.0,2020-03-07,20:00,Nice,Monaco,2,1,1.7,1.4,21001.0,Stade de Nice,Amaury Delerue,0.30000000000000004,1.0,Ligue1
1153,2019-2020,28.0,2020-03-07,20:00,Angers,Nantes,2,0,0.8,1.4,12132.0,Stade Raymond Kopa,Stéphanie Frappart,-0.5999999999999999,2.0,Ligue1
1154,2019-2020,28.0,2020-03-07,20:00,Dijon,Toulouse,2,1,1.0,1.0,12549.0,Stade Gaston Gérard,Jérôme Brisard,0.0,1.0,Ligue1
1155,2019-2020,28.0,2020-03-07,20:00,Metz,Nîmes,2,1,1.2,1.3,14797.0,Stade Saint-Symphorien,Ruddy Buquet,-0.10000000000000009,1.0,Ligue1
1156,2019-2020,28.0,2020-03-07,20:00,Reims,Brest,1,0,1.7,1.3,11062.0,Stade Auguste-Delaune II,Karim Abed,0.3999999999999999,1.0,Ligue1
1157,2019-2020,28.0,2020-03-08,15:00,Saint-Étienne,Bordeaux,1,1,0.9,0.8,24912.0,Stade Geoffroy-Guichard,Thomas Léonard,0.09999999999999998,0.0,Ligue1
1158,2019-2020,28.0,2020-03-08,17:00,Rennes,Montpellier,5,0,3.1,1.0,24818.0,Roazhon Park,Jérémie Pignard,2.1,5.0,Ligue1
1159,2019-2020,28.0,2020-03-08,21:00,Lille,Lyon,1,0,1.1,1.3,40164.0,Stade Pierre-Mauroy,Benoît Bastien,-0.19999999999999996,1.0,Ligue1
1161,2019-2020,29.0,2020-03-13,20:45,Lyon,Reims,,,,,,Groupama Stadium,,,,Ligue1
1162,2019-2020,29.0,2020-03-14,17:30,Montpellier,Marseille,,,,,,Stade de la Mosson,,,,Ligue1
1163,2019-2020,29.0,2020-03-14,20:00,Nantes,Nîmes,,,,,,Stade de la Beaujoire - Louis Fonteneau,,,,Ligue1
1164,2019-2020,29.0,2020-03-14,20:00,Strasbourg,Dijon,,,,,,Stade de la Meinau,,,,Ligue1
1165,2019-2020,29.0,2020-03-14,20:00,Toulouse,Metz,,,,,,Stadium Municipal,,,,Ligue1
1166,2019-2020,29.0,2020-03-14,20:00,Brest,Lille,,,,,,Stade Francis-Le Blé,,,,Ligue1
1167,2019-2020,29.0,2020-03-14,20:00,Amiens,Angers,,,,,,Stade Crédit Agricole la Licorne,,,,Ligue1
1168,2019-2020,29.0,2020-03-15,15:00,Bordeaux,Rennes,,,,,,Stade Matmut-Atlantique,,,,Ligue1
1169,2019-2020,29.0,2020-03-15,17:00,Monaco,Saint-Étienne,,,,,,Stade Louis II.,,,,Ligue1
1170,2019-2020,29.0,2020-03-15,21:00,Paris S-G,Nice,,,,,,Parc des Princes,,,,Ligue1
1172,2019-2020,28.0,2020-03-18,,Strasbourg,Paris S-G,,,,,,Stade de la Meinau,,,,Ligue1
1174,2019-2020,30.0,2020-03-20,20:45,Lille,Monaco,,,,,,Stade Pierre-Mauroy,,,,Ligue1
1175,2019-2020,30.0,2020-03-21,17:30,Rennes,Lyon,,,,,,Roazhon Park,,,,Ligue1
1176,2019-2020,30.0,2020-03-21,20:00,Dijon,Amiens,,,,,,Stade Gaston Gérard,,,,Ligue1
1177,2019-2020,30.0,2020-03-21,20:00,Metz,Brest,,,,,,Stade Saint-Symphorien,,,,Ligue1
1178,2019-2020,30.0,2020-03-21,20:00,Nîmes,Bordeaux,,,,,,Stade des Costières,,,,Ligue1
1179,2019-2020,30.0,2020-03-21,20:00,Angers,Toulouse,,,,,,Stade Raymond Kopa,,,,Ligue1
1180,2019-2020,30.0,2020-03-21,20:00,Nice,Montpellier,,,,,,Stade de Nice,,,,Ligue1
1181,2019-2020,30.0,2020-03-22,15:00,Saint-Étienne,Strasbourg,,,,,,Stade Geoffroy-Guichard,,,,Ligue1
1182,2019-2020,30.0,2020-03-22,17:00,Reims,Nantes,,,,,,Stade Auguste-Delaune II,,,,Ligue1
1183,2019-2020,30.0,2020-03-22,21:00,Marseille,Paris S-G,,,,,,Orange Vélodrome,,,,Ligue1
1185,2019-2020,31.0,2020-04-05,,Lyon,Nîmes,,,,,,Groupama Stadium,,,,Ligue1
1186,2019-2020,31.0,2020-04-05,,Paris S-G,Metz,,,,,,Parc des Princes,,,,Ligue1
1187,2019-2020,31.0,2020-04-04,17:30,Montpellier,Lille,,,,,,Stade de la Mosson,,,,Ligue1
1188,2019-2020,31.0,2020-04-04,19:15,Toulouse,Saint-Étienne,,,,,,Stadium Municipal,,,,Ligue1
1189,2019-2020,31.0,2020-04-05,15:00,Monaco,Nantes,,,,,,Stade Louis II.,,,,Ligue1
1190,2019-2020,31.0,2020-04-05,17:00,Strasbourg,Angers,,,,,,Stade de la Meinau,,,,Ligue1
1191,2019-2020,31.0,2020-04-05,17:00,Dijon,Nice,,,,,,Stade Gaston Gérard,,,,Ligue1
1192,2019-2020,31.0,2020-04-05,17:00,Bordeaux,Reims,,,,,,Stade Matmut-Atlantique,,,,Ligue1
1193,2019-2020,31.0,2020-04-05,17:00,Amiens,Rennes,,,,,,Stade Crédit Agricole la Licorne,,,,Ligue1
1194,2019-2020,31.0,2020-04-05,21:00,Brest,Marseille,,,,,,Stade Francis-Le Blé,,,,Ligue1
1196,2019-2020,32.0,2020-04-11,,Nîmes,Montpellier,,,,,,Stade des Costières,,,,Ligue1
1197,2019-2020,32.0,2020-04-11,,Reims,Toulouse,,,,,,Stade Auguste-Delaune II,,,,Ligue1
1198,2019-2020,32.0,2020-04-11,,Brest,Monaco,,,,,,Stade Francis-Le Blé,,,,Ligue1
1199,2019-2020,32.0,2020-04-11,,Angers,Paris S-G,,,,,,Stade Raymond Kopa,,,,Ligue1
1200,2019-2020,32.0,2020-04-11,,Nantes,Lyon,,,,,,Stade de la Beaujoire - Louis Fonteneau,,,,Ligue1
1201,2019-2020,32.0,2020-04-11,,Bordeaux,Amiens,,,,,,Stade Matmut-Atlantique,,,,Ligue1
1202,2019-2020,32.0,2020-04-11,,Marseille,Dijon,,,,,,Orange Vélodrome,,,,Ligue1
1203,2019-2020,32.0,2020-04-11,,Saint-Étienne,Rennes,,,,,,Stade Geoffroy-Guichard,,,,Ligue1
1204,2019-2020,32.0,2020-04-11,,Metz,Lille,,,,,,Stade Saint-Symphorien,,,,Ligue1
1205,2019-2020,32.0,2020-04-11,,Nice,Strasbourg,,,,,,Stade de Nice,,,,Ligue1
1207,2019-2020,33.0,2020-04-18,,Monaco,Bordeaux,,,,,,Stade Louis II.,,,,Ligue1
1208,2019-2020,33.0,2020-04-18,,Lyon,Marseille,,,,,,Groupama Stadium,,,,Ligue1
1209,2019-2020,33.0,2020-04-18,,Paris S-G,Saint-Étienne,,,,,,Parc des Princes,,,,Ligue1
1210,2019-2020,33.0,2020-04-18,,Toulouse,Nantes,,,,,,Stadium Municipal,,,,Ligue1
1211,2019-2020,33.0,2020-04-18,,Dijon,Angers,,,,,,Stade Gaston Gérard,,,,Ligue1
1212,2019-2020,33.0,2020-04-18,,Strasbourg,Brest,,,,,,Stade de la Meinau,,,,Ligue1
1213,2019-2020,33.0,2020-04-18,,Montpellier,Reims,,,,,,Stade de la Mosson,,,,Ligue1
1214,2019-2020,33.0,2020-04-18,,Lille,Nice,,,,,,Stade Pierre-Mauroy,,,,Ligue1
1215,2019-2020,33.0,2020-04-18,,Amiens,Nîmes,,,,,,Stade Crédit Agricole la Licorne,,,,Ligue1
1216,2019-2020,33.0,2020-04-18,,Rennes,Metz,,,,,,Roazhon Park,,,,Ligue1
1218,2019-2020,34.0,2020-04-26,,Rennes,Strasbourg,,,,,,Roazhon Park,,,,Ligue1
1219,2019-2020,34.0,2020-04-26,,Nîmes,Lille,,,,,,Stade des Costières,,,,Ligue1
1220,2019-2020,34.0,2020-04-26,,Nantes,Amiens,,,,,,Stade de la Beaujoire - Louis Fonteneau,,,,Ligue1
1221,2019-2020,34.0,2020-04-26,,Saint-Étienne,Angers,,,,,,Stade Geoffroy-Guichard,,,,Ligue1
1222,2019-2020,34.0,2020-04-26,,Bordeaux,Toulouse,,,,,,Stade Matmut-Atlantique,,,,Ligue1
1223,2019-2020,34.0,2020-04-26,,Brest,Montpellier,,,,,,Stade Francis-Le Blé,,,,Ligue1
1224,2019-2020,34.0,2020-04-26,,Metz,Dijon,,,,,,Stade Saint-Symphorien,,,,Ligue1
1225,2019-2020,34.0,2020-04-26,,Reims,Paris S-G,,,,,,Stade Auguste-Delaune II,,,,Ligue1
1226,2019-2020,34.0,2020-04-26,,Lyon,Monaco,,,,,,Groupama Stadium,,,,Ligue1
1227,2019-2020,34.0,2020-04-26,,Marseille,Nice,,,,,,Orange Vélodrome,,,,Ligue1
1229,2019-2020,35.0,2020-05-02,,Angers,Rennes,,,,,,Stade Raymond Kopa,,,,Ligue1
1230,2019-2020,35.0,2020-05-02,,Dijon,Lyon,,,,,,Stade Gaston Gérard,,,,Ligue1
1231,2019-2020,35.0,2020-05-02,,Paris S-G,Brest,,,,,,Parc des Princes,,,,Ligue1
1232,2019-2020,35.0,2020-05-02,,Monaco,Metz,,,,,,Stade Louis II.,,,,Ligue1
1233,2019-2020,35.0,2020-05-02,,Lille,Reims,,,,,,Stade Pierre-Mauroy,,,,Ligue1
1234,2019-2020,35.0,2020-05-02,,Toulouse,Nîmes,,,,,,Stadium Municipal,,,,Ligue1
1235,2019-2020,35.0,2020-05-02,,Nice,Nantes,,,,,,Stade de Nice,,,,Ligue1
1236,2019-2020,35.0,2020-05-02,,Amiens,Saint-Étienne,,,,,,Stade Crédit Agricole la Licorne,,,,Ligue1
1237,2019-2020,35.0,2020-05-02,,Strasbourg,Marseille,,,,,,Stade de la Meinau,,,,Ligue1
1238,2019-2020,35.0,2020-05-02,,Montpellier,Bordeaux,,,,,,Stade de la Mosson,,,,Ligue1
1240,2019-2020,36.0,2020-05-09,,Saint-Étienne,Lille,,,,,,Stade Geoffroy-Guichard,,,,Ligue1
1241,2019-2020,36.0,2020-05-09,,Toulouse,Paris S-G,,,,,,Stadium Municipal,,,,Ligue1
1242,2019-2020,36.0,2020-05-09,,Rennes,Dijon,,,,,,Roazhon Park,,,,Ligue1
1243,2019-2020,36.0,2020-05-09,,Nîmes,Strasbourg,,,,,,Stade des Costières,,,,Ligue1
1244,2019-2020,36.0,2020-05-09,,Marseille,Monaco,,,,,,Orange Vélodrome,,,,Ligue1
1245,2019-2020,36.0,2020-05-09,,Lyon,Montpellier,,,,,,Groupama Stadium,,,,Ligue1
1246,2019-2020,36.0,2020-05-09,,Nantes,Brest,,,,,,Stade de la Beaujoire - Louis Fonteneau,,,,Ligue1
1247,2019-2020,36.0,2020-05-09,,Bordeaux,Angers,,,,,,Stade Matmut-Atlantique,,,,Ligue1
1248,2019-2020,36.0,2020-05-09,,Metz,Nice,,,,,,Stade Saint-Symphorien,,,,Ligue1
1249,2019-2020,36.0,2020-05-09,,Reims,Amiens,,,,,,Stade Auguste-Delaune II,,,,Ligue1
1251,2019-2020,37.0,2020-05-16,,Nice,Saint-Étienne,,,,,,Stade de Nice,,,,Ligue1
1252,2019-2020,37.0,2020-05-16,,Lille,Amiens,,,,,,Stade Pierre-Mauroy,,,,Ligue1
1253,2019-2020,37.0,2020-05-16,,Strasbourg,Bordeaux,,,,,,Stade de la Meinau,,,,Ligue1
1254,2019-2020,37.0,2020-05-16,,Montpellier,Nantes,,,,,,Stade de la Mosson,,,,Ligue1
1255,2019-2020,37.0,2020-05-16,,Monaco,Toulouse,,,,,,Stade Louis II.,,,,Ligue1
1256,2019-2020,37.0,2020-05-16,,Dijon,Reims,,,,,,Stade Gaston Gérard,,,,Ligue1
1257,2019-2020,37.0,2020-05-16,,Paris S-G,Rennes,,,,,,Parc des Princes,,,,Ligue1
1258,2019-2020,37.0,2020-05-16,,Marseille,Metz,,,,,,Orange Vélodrome,,,,Ligue1
1259,2019-2020,37.0,2020-05-16,,Angers,Lyon,,,,,,Stade Raymond Kopa,,,,Ligue1
1260,2019-2020,37.0,2020-05-16,,Brest,Nîmes,,,,,,Stade Francis-Le Blé,,,,Ligue1
1262,2019-2020,38.0,2020-05-23,,Metz,Angers,,,,,,Stade Saint-Symphorien,,,,Ligue1
1263,2019-2020,38.0,2020-05-23,,Reims,Marseille,,,,,,Stade Auguste-Delaune II,,,,Ligue1
1264,2019-2020,38.0,2020-05-23,,Nantes,Strasbourg,,,,,,Stade de la Beaujoire - Louis Fonteneau,,,,Ligue1
1265,2019-2020,38.0,2020-05-23,,Rennes,Monaco,,,,,,Roazhon Park,,,,Ligue1
1266,2019-2020,38.0,2020-05-23,,Toulouse,Montpellier,,,,,,Stadium Municipal,,,,Ligue1
1267,2019-2020,38.0,2020-05-23,,Amiens,Nice,,,,,,Stade Crédit Agricole la Licorne,,,,Ligue1
1268,2019-2020,38.0,2020-05-23,,Lyon,Brest,,,,,,Groupama Stadium,,,,Ligue1
1269,2019-2020,38.0,2020-05-23,,Nîmes,Paris S-G,,,,,,Stade des Costières,,,,Ligue1
1270,2019-2020,38.0,2020-05-23,,Bordeaux,Lille,,,,,,Stade Matmut-Atlantique,,,,Ligue1
1271,2019-2020,38.0,2020-05-23,,Saint-Étienne,Dijon,,,,,,Stade Geoffroy-Guichard,,,,Ligue1
