,Season,Wk,Date,Time,Home,Away,Home Score,Away Score,xG Home,xG Away,Attendance,Venue,Referee,xG Diff,Actual Diff,League
1802,2021-2022,10.0,2021-10-17,20:45,Marseille,Lorient,4,1,1.8,2.2,57349.0,Orange Vélodrome,Antony Gautier,-0.40000000000000013,3.0,Ligue1
1804,2021-2022,11.0,2021-10-22,21:00,Saint-Étienne,Angers,2,2,1.6,0.5,19836.0,Stade Geoffroy-Guichard,Antony Gautier,1.1,0.0,Ligue1
1805,2021-2022,11.0,2021-10-23,17:00,Nantes,Clermont Foot,2,1,1.3,1.1,19968.0,Stade de la Beaujoire - Louis Fonteneau,Romain Lissorgue,0.19999999999999996,1.0,Ligue1
1806,2021-2022,11.0,2021-10-23,21:00,Lille,Brest,1,1,1.7,1.2,32613.0,Stade Pierre-Mauroy,Clément Turpin,0.5,0.0,Ligue1
1807,2021-2022,11.0,2021-10-24,13:00,Nice,Lyon,3,2,2.4,1.4,24519.0,Stade de Nice,Jérôme Brisard,1.0,1.0,Ligue1
1808,2021-2022,11.0,2021-10-24,15:00,Rennes,Strasbourg,1,0,1.2,0.9,27185.0,Roazhon Park,Stéphanie Frappart,0.29999999999999993,1.0,Ligue1
1809,2021-2022,11.0,2021-10-24,15:00,Lens,Metz,4,1,1.8,0.8,35673.0,Stade Bollaert-Delelis,Jérémie Pignard,1.0,3.0,Ligue1
1810,2021-2022,11.0,2021-10-24,15:00,Lorient,Bordeaux,1,1,1.2,1.0,11678.0,Stade Yves Allainmat - Le Moustoir,Thomas Léonard,0.19999999999999996,0.0,Ligue1
1811,2021-2022,11.0,2021-10-24,15:00,Reims,Troyes,1,2,0.8,0.9,12326.0,Stade Auguste-Delaune II,Pierre Gaillouste,-0.09999999999999998,-1.0,Ligue1
1812,2021-2022,11.0,2021-10-24,17:00,Monaco,Montpellier,3,1,1.3,1.3,4861.0,Stade Louis II.,François Letexier,0.0,2.0,Ligue1
1813,2021-2022,11.0,2021-10-24,20:45,Marseille,Paris S-G,0,0,1.1,1.4,65121.0,Orange Vélodrome,Benoît Bastien,-0.2999999999999998,0.0,Ligue1
1815,2021-2022,3.0,2021-10-27,21:00,Nice,Marseille,1,1,1.5,0.5,,Stade de l'Aube,Clément Turpin,1.0,0.0,Ligue1
1817,2021-2022,12.0,2021-10-29,21:00,Paris S-G,Lille,2,1,2.1,1.8,47874.0,Parc des Princes,Amaury Delerue,0.30000000000000004,1.0,Ligue1
1818,2021-2022,12.0,2021-10-30,17:00,Metz,Saint-Étienne,1,1,0.4,0.4,15914.0,Stade Saint-Symphorien,Stéphanie Frappart,0.0,0.0,Ligue1
1819,2021-2022,12.0,2021-10-30,21:00,Lyon,Lens,2,1,1.9,2.1,50373.0,Groupama Stadium,Mikael Lesage,-0.20000000000000018,1.0,Ligue1
1820,2021-2022,12.0,2021-10-31,13:00,Angers,Nice,1,2,1.2,0.8,6788.0,Stade Raymond Kopa,Willy Delajod,0.3999999999999999,-1.0,Ligue1
1821,2021-2022,12.0,2021-10-31,15:00,Bordeaux,Reims,3,2,1.8,1.4,11020.0,Stade Matmut-Atlantique,Eric Wattellier,0.40000000000000013,1.0,Ligue1
1822,2021-2022,12.0,2021-10-31,15:00,Troyes,Rennes,2,2,1.3,1.3,8550.0,Stade de l'Aube,Jeremy Stinat,0.0,0.0,Ligue1
1823,2021-2022,12.0,2021-10-31,15:00,Montpellier,Nantes,2,0,1.2,1.0,11267.0,Stade de la Mosson,Bastien Dechepy,0.19999999999999996,2.0,Ligue1
1824,2021-2022,12.0,2021-10-31,15:00,Strasbourg,Lorient,4,0,2.3,1.3,24002.0,Stade de la Meinau,Florent Batta,0.9999999999999998,4.0,Ligue1
1825,2021-2022,12.0,2021-10-31,17:00,Brest,Monaco,2,0,1.3,0.4,12463.0,Stade Francis-Le Blé,Johan Hamel,0.9,2.0,Ligue1
1826,2021-2022,12.0,2021-10-31,20:45,Clermont Foot,Marseille,0,1,0.7,1.0,12240.0,Stade Gabriel Montpied,Benoît Millot,-0.30000000000000004,-1.0,Ligue1
1828,2021-2022,13.0,2021-11-05,21:00,Lens,Troyes,4,0,3.0,0.5,35706.0,Stade Bollaert-Delelis,Thomas Léonard,2.5,4.0,Ligue1
1829,2021-2022,13.0,2021-11-06,17:00,Lille,Angers,1,1,1.4,1.1,33305.0,Stade Pierre-Mauroy,François Letexier,0.2999999999999998,0.0,Ligue1
1830,2021-2022,13.0,2021-11-06,21:00,Bordeaux,Paris S-G,2,3,1.4,1.5,41172.0,Stade Matmut-Atlantique,Ruddy Buquet,-0.10000000000000009,-1.0,Ligue1
1831,2021-2022,13.0,2021-11-07,13:00,Marseille,Metz,0,0,1.3,1.2,61539.0,Orange Vélodrome,Jérôme Brisard,0.10000000000000009,0.0,Ligue1
1832,2021-2022,13.0,2021-11-07,15:00,Saint-Étienne,Clermont Foot,3,2,1.3,1.1,,Stade Geoffroy-Guichard,Pierre Gaillouste,0.19999999999999996,1.0,Ligue1
1833,2021-2022,13.0,2021-11-07,15:00,Lorient,Brest,1,2,1.3,2.6,14649.0,Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,-1.3,-1.0,Ligue1
1834,2021-2022,13.0,2021-11-07,15:00,Reims,Monaco,0,0,0.3,1.0,12080.0,Stade Auguste-Delaune II,Jérémie Pignard,-0.7,0.0,Ligue1
1835,2021-2022,13.0,2021-11-07,15:00,Nantes,Strasbourg,2,2,2.3,2.1,18853.0,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,0.19999999999999973,0.0,Ligue1
1836,2021-2022,13.0,2021-11-07,17:00,Nice,Montpellier,0,1,1.4,0.4,20157.0,Stade de Nice,Antony Gautier,0.9999999999999999,-1.0,Ligue1
1837,2021-2022,13.0,2021-11-07,20:45,Rennes,Lyon,4,1,3.3,1.1,28222.0,Roazhon Park,Benoît Bastien,2.1999999999999997,3.0,Ligue1
1839,2021-2022,14.0,2021-11-19,21:00,Monaco,Lille,2,2,1.1,2.2,3778.0,Stade Louis II.,Willy Delajod,-1.1,0.0,Ligue1
1840,2021-2022,14.0,2021-11-20,17:00,Paris S-G,Nantes,3,1,1.8,1.4,47777.0,Parc des Princes,Jeremy Stinat,0.40000000000000013,2.0,Ligue1
1841,2021-2022,14.0,2021-11-20,21:00,Rennes,Montpellier,2,0,2.9,0.7,27003.0,Roazhon Park,Mikael Lesage,2.2,2.0,Ligue1
1842,2021-2022,14.0,2021-11-21,13:00,Brest,Lens,4,0,1.3,1.5,12462.0,Stade Francis-Le Blé,Eric Wattellier,-0.19999999999999996,4.0,Ligue1
1843,2021-2022,14.0,2021-11-21,15:00,Metz,Bordeaux,3,3,1.2,2.2,16077.0,Stade Saint-Symphorien,Benoît Millot,-1.0000000000000002,0.0,Ligue1
1844,2021-2022,14.0,2021-11-21,15:00,Angers,Lorient,1,0,1.4,0.7,6971.0,Stade Raymond Kopa,Pierre Gaillouste,0.7,1.0,Ligue1
1845,2021-2022,14.0,2021-11-21,15:00,Troyes,Saint-Étienne,0,1,1.1,1.1,10644.0,Stade de l'Aube,Florent Batta,0.0,-1.0,Ligue1
1846,2021-2022,14.0,2021-11-21,15:00,Strasbourg,Reims,1,1,1.7,0.9,24439.0,Stade de la Meinau,Amaury Delerue,0.7999999999999999,0.0,Ligue1
1847,2021-2022,14.0,2021-11-21,17:00,Clermont Foot,Nice,1,2,0.7,0.6,11683.0,Stade Gabriel Montpied,Stéphanie Frappart,0.09999999999999998,-1.0,Ligue1
