,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
60,6.0,Sat,2019-09-21,20:00,Bordeaux,1.7,2–2,1.3,Brest,15213.0,Stade Matmut-Atlantique,Benoît Millot,Match Report,
61,6.0,Sat,2019-09-21,20:00,Metz,1.3,1–2,1.3,Amiens,15106.0,Stade Saint-Symphorien,Hakim Ben El Hadj Salem,Match Report,
62,6.0,Sun,2019-09-22,15:00,Rennes,0.9,1–1,1.1,Lille,25772.0,Roazhon Park,Jérôme Brisard,Match Report,
63,6.0,Sun,2019-09-22,17:00,Angers,2.0,4–1,0.8,Saint-Étienne,9831.0,Stade Raymond Kopa,Franck Schneider,Match Report,
64,6.0,Sun,2019-09-22,21:00,Lyon,0.5,0–1,1.5,Paris S-G,54583.0,Groupama Stadium,Ruddy Buquet,Match Report,
65,,,,,,,,,,,,,,
66,7.0,Tue,2019-09-24,19:00,Dijon,1.4,0–0,0.9,Marseille,15061.0,Stade Gaston Gérard,Jeremy Stinat,Match Report,
67,7.0,Tue,2019-09-24,21:00,Monaco,2.3,3–1,0.7,Nice,9358.0,Stade Louis II.,Mikael Lesage,Match Report,
68,7.0,Wed,2019-09-25,19:00,Toulouse,0.3,0–2,1.6,Angers,10177.0,Stadium Municipal,Olivier Thual,Match Report,
69,7.0,Wed,2019-09-25,19:00,Brest,0.7,2–2,1.2,Lyon,14472.0,Stade Francis-Le Blé,Amaury Delerue,Match Report,
70,7.0,Wed,2019-09-25,19:00,Nantes,1.4,1–0,1.1,Rennes,26952.0,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Match Report,
71,7.0,Wed,2019-09-25,19:00,Amiens,1.5,1–3,0.7,Bordeaux,11367.0,Stade Crédit Agricole la Licorne,Willy Delajod,Match Report,
72,7.0,Wed,2019-09-25,19:00,Saint-Étienne,1.3,0–1,0.8,Metz,19712.0,Stade Geoffroy-Guichard,Eric Wattellier,Match Report,
73,7.0,Wed,2019-09-25,19:00,Montpellier,0.6,1–0,0.8,Nîmes,16445.0,Stade de la Mosson,Benoît Bastien,Match Report,
74,7.0,Wed,2019-09-25,19:00,Lille,2.8,2–0,0.3,Strasbourg,30103.0,Stade Pierre-Mauroy,Johan Hamel,Match Report,
75,7.0,Wed,2019-09-25,21:00,Paris S-G,0.6,0–2,1.0,Reims,47376.0,Parc des Princes,François Letexier,Match Report,
76,,,,,,,,,,,,,,
77,8.0,Sat,2019-09-28,13:30,Lyon,1.1,0–1,0.6,Nantes,46647.0,Groupama Stadium,Benoît Millot,Match Report,
78,8.0,Sat,2019-09-28,17:30,Bordeaux,0.1,0–1,2.8,Paris S-G,39215.0,Stade Matmut-Atlantique,Jérôme Brisard,Match Report,
79,8.0,Sat,2019-09-28,20:00,Reims,1.2,1–2,1.8,Dijon,11033.0,Stade Auguste-Delaune II,Jérémie Pignard,Match Report,
80,8.0,Sat,2019-09-28,20:00,Metz,1.4,2–2,1.4,Toulouse,15054.0,Stade Saint-Symphorien,Florent Batta,Match Report,
81,8.0,Sat,2019-09-28,20:00,Nice,1.2,1–1,1.4,Lille,18295.0,Stade de Nice,Clément Turpin,Match Report,
82,8.0,Sat,2019-09-28,20:00,Monaco,3.6,4–1,0.5,Brest,4576.0,Stade Louis II.,Ruddy Buquet,Match Report,
83,8.0,Sat,2019-09-28,20:00,Angers,1.4,1–1,1.2,Amiens,9331.0,Stade Raymond Kopa,Karim Abed,Match Report,
84,8.0,Sun,2019-09-29,15:00,Strasbourg,0.4,1–0,1.4,Montpellier,25010.0,Stade de la Meinau,Hakim Ben El Hadj Salem,Match Report,
85,8.0,Sun,2019-09-29,17:00,Nîmes,1.8,0–1,0.7,Saint-Étienne,13802.0,Stade des Costières,Thomas Léonard,Match Report,
86,8.0,Sun,2019-09-29,21:00,Marseille,0.8,1–1,0.9,Rennes,44281.0,Orange Vélodrome,Franck Schneider,Match Report,
87,,,,,,,,,,,,,,
88,9.0,Fri,2019-10-04,20:45,Amiens,2.9,3–1,0.5,Marseille,12737.0,Stade Crédit Agricole la Licorne,Johan Hamel,Match Report,
89,9.0,Sat,2019-10-05,17:30,Paris S-G,3.4,4–0,0.6,Angers,47700.0,Parc des Princes,Willy Delajod,Match Report,
90,9.0,Sat,2019-10-05,20:00,Montpellier,3.1,3–1,1.3,Monaco,15532.0,Stade de la Mosson,François Letexier,Match Report,
91,9.0,Sat,2019-10-05,20:00,Dijon,1.1,1–0,0.8,Strasbourg,12124.0,Stade Gaston Gérard,Olivier Thual,Match Report,
92,9.0,Sat,2019-10-05,20:00,Nantes,1.3,1–0,0.3,Nice,15532.0,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Match Report,
93,9.0,Sat,2019-10-05,20:00,Brest,0.7,2–0,0.5,Metz,12682.0,Stade Francis-Le Blé,Antony Gautier,Match Report,
94,9.0,Sat,2019-10-05,20:00,Toulouse,1.1,1–3,0.8,Bordeaux,20084.0,Stadium Municipal,Benoît Bastien,Match Report,
95,9.0,Sun,2019-10-06,15:00,Lille,2.6,2–2,1.8,Nîmes,31542.0,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
96,9.0,Sun,2019-10-06,17:00,Rennes,1.1,0–1,1.6,Reims,20950.0,Roazhon Park,Stéphanie Frappart,Match Report,
97,9.0,Sun,2019-10-06,21:00,Saint-Étienne,0.9,1–0,0.6,Lyon,34071.0,Stade Geoffroy-Guichard,Clément Turpin,Match Report,
98,,,,,,,,,,,,,,
99,10.0,Fri,2019-10-18,20:45,Nice,0.8,1–4,3.5,Paris S-G,32705.0,Stade de Nice,François Letexier,Match Report,
100,10.0,Sat,2019-10-19,17:30,Lyon,2.1,0–0,0.4,Dijon,48454.0,Groupama Stadium,Franck Schneider,Match Report,
101,10.0,Sat,2019-10-19,20:00,Metz,0.8,1–0,0.6,Nantes,16533.0,Stade Saint-Symphorien,Jérémie Pignard,Match Report,
102,10.0,Sat,2019-10-19,20:00,Toulouse,2.5,2–1,0.8,Lille,12277.0,Stadium Municipal,Stéphanie Frappart,Match Report,
103,10.0,Sat,2019-10-19,20:00,Reims,0.9,1–0,0.9,Montpellier,12187.0,Stade Auguste-Delaune II,Florent Batta,Match Report,
104,10.0,Sat,2019-10-19,20:00,Nîmes,0.5,1–1,1.2,Amiens,12189.0,Stade des Costières,Jeremy Stinat,Match Report,
105,10.0,Sat,2019-10-19,20:00,Angers,1.7,0–1,0.3,Brest,10369.0,Stade Raymond Kopa,Eric Wattellier,Match Report,
106,10.0,Sun,2019-10-20,15:00,Bordeaux,1.0,0–1,0.9,Saint-Étienne,25952.0,Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
107,10.0,Sun,2019-10-20,17:00,Monaco,1.4,3–2,1.5,Rennes,6763.0,Stade Louis II.,Jérôme Brisard,Match Report,
108,10.0,Sun,2019-10-20,21:00,Marseille,1.6,2–0,0.5,Strasbourg,50203.0,Orange Vélodrome,Hakim Ben El Hadj Salem,Match Report,
109,,,,,,,,,,,,,,
110,11.0,Fri,2019-10-25,20:45,Nantes,1.7,0–1,0.9,Monaco,30656.0,Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Match Report,
111,11.0,Sat,2019-10-26,17:30,Lille,1.8,3–0,0.3,Bordeaux,35925.0,Stade Pierre-Mauroy,Willy Delajod,Match Report,
112,11.0,Sat,2019-10-26,20:00,Lyon,1.9,2–0,0.8,Metz,48889.0,Groupama Stadium,Johan Hamel,Match Report,
113,11.0,Sat,2019-10-26,20:00,Strasbourg,2.1,1–0,0.8,Nice,25007.0,Stade de la Meinau,Mikael Lesage,Match Report,
114,11.0,Sat,2019-10-26,20:00,Reims,0.6,0–0,0.7,Nîmes,12329.0,Stade Auguste-Delaune II,Clément Turpin,Match Report,
115,11.0,Sat,2019-10-26,20:00,Brest,1.9,2–0,1.2,Dijon,14232.0,Stade Francis-Le Blé,Jérémie Pignard,Match Report,
116,11.0,Sat,2019-10-26,20:00,Montpellier,1.2,0–0,1.0,Angers,12678.0,Stade de la Mosson,Benoît Millot,Match Report,
117,11.0,Sun,2019-10-27,15:00,Rennes,2.1,3–2,1.2,Toulouse,22918.0,Roazhon Park,Antony Gautier,Match Report,
118,11.0,Sun,2019-10-27,17:00,Saint-Étienne,0.8,2–2,2.2,Amiens,18877.0,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
119,11.0,Sun,2019-10-27,21:00,Paris S-G,3.0,4–0,0.6,Marseille,47926.0,Parc des Princes,Benoît Bastien,Match Report,
120,,,,,,,,,,,,,,
121,12.0,Fri,2019-11-01,20:45,Dijon,1.0,2–1,3.2,Paris S-G,14859.0,Stade Gaston Gérard,Ruddy Buquet,Match Report,
122,12.0,Sat,2019-11-02,17:30,Marseille,0.7,2–1,0.4,Lille,53321.0,Orange Vélodrome,Hakim Ben El Hadj Salem,Match Report,
123,12.0,Sat,2019-11-02,20:00,Toulouse,1.3,2–3,1.8,Lyon,16225.0,Stadium Municipal,Karim Abed,Match Report,
124,12.0,Sat,2019-11-02,20:00,Amiens,1.4,1–0,0.9,Brest,12246.0,Stade Crédit Agricole la Licorne,Franck Schneider,Match Report,
125,12.0,Sat,2019-11-02,20:00,Metz,1.9,2–2,1.0,Montpellier,14644.0,Stade Saint-Symphorien,Stéphanie Frappart,Match Report,
126,12.0,Sat,2019-11-02,20:00,Angers,1.2,1–0,1.2,Strasbourg,9681.0,Stade Raymond Kopa,Florent Batta,Match Report,
127,12.0,Sun,2019-11-03,15:00,Bordeaux,1.0,2–0,0.7,Nantes,19545.0,Stade Matmut-Atlantique,François Letexier,Match Report,
128,12.0,Sun,2019-11-03,17:00,Nice,1.0,2–0,0.8,Reims,15468.0,Stade de Nice,Jeremy Stinat,Match Report,
129,12.0,Sun,2019-11-03,21:00,Saint-Étienne,1.7,1–0,1.0,Monaco,15685.0,Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
130,,,,,,,,,,,,,,
131,13.0,Fri,2019-11-08,20:45,Nice,1.5,1–1,1.7,Bordeaux,16173.0,Stade de Nice,Johan Hamel,Match Report,
132,13.0,Sat,2019-11-09,17:30,Brest,1.1,1–2,2.4,Paris S-G,15144.0,Stade Francis-Le Blé,Mikael Lesage,Match Report,
133,13.0,Sat,2019-11-09,20:00,Monaco,2.0,1–0,1.2,Dijon,5223.0,Stade Louis II.,Eric Wattellier,Match Report,
134,13.0,Sat,2019-11-09,20:00,Reims,0.5,0–0,1.0,Angers,10876.0,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
135,13.0,Sat,2019-11-09,20:00,Lille,1.4,0–0,0.1,Metz,33425.0,Stade Pierre-Mauroy,Florent Batta,Match Report,
136,13.0,Sat,2019-11-09,20:00,Strasbourg,3.5,4–1,0.5,Nîmes,24745.0,Stade de la Meinau,Ruddy Buquet,Match Report,
137,13.0,Sun,2019-11-10,15:00,Rennes,3.4,3–1,0.8,Amiens,20677.0,Roazhon Park,Benoît Bastien,Match Report,
138,13.0,Sun,2019-11-10,17:00,Nantes,0.9,2–3,0.9,Saint-Étienne,34191.0,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
139,13.0,Sun,2019-11-10,17:00,Montpellier,1.0,3–0,0.3,Toulouse,12734.0,Stade de la Mosson,Thomas Léonard,Match Report,
140,13.0,Sun,2019-11-10,21:00,Marseille,1.2,2–1,1.1,Lyon,65421.0,Orange Vélodrome,Antony Gautier,Match Report,
141,,,,,,,,,,,,,,
142,14.0,Fri,2019-11-22,20:45,Paris S-G,2.6,2–0,1.0,Lille,47476.0,Parc des Princes,Willy Delajod,Match Report,
143,14.0,Sat,2019-11-23,17:30,Lyon,1.3,2–1,1.7,Nice,49401.0,Groupama Stadium,Amaury Delerue,Match Report,
144,14.0,Sat,2019-11-23,20:00,Metz,1.1,1–1,1.8,Reims,14445.0,Stade Saint-Symphorien,Antony Gautier,Match Report,
145,14.0,Sat,2019-11-23,20:00,Angers,1.1,1–0,0.6,Nîmes,8714.0,Stade Raymond Kopa,Thomas Léonard,Match Report,
146,14.0,Sat,2019-11-23,20:00,Amiens,0.3,0–4,2.0,Strasbourg,10358.0,Stade Crédit Agricole la Licorne,Alain Bieri,Match Report,
147,14.0,Sat,2019-11-23,20:00,Brest,1.0,1–1,1.5,Nantes,14232.0,Stade Francis-Le Blé,Ruddy Buquet,Match Report,
148,14.0,Sat,2019-11-23,20:00,Dijon,1.3,2–1,0.9,Rennes,12084.0,Stade Gaston Gérard,Jérôme Brisard,Match Report,
149,14.0,Sun,2019-11-24,15:00,Bordeaux,1.6,2–1,1.7,Monaco,34554.0,Stade Matmut-Atlantique,Benoît Millot,Match Report,
150,14.0,Sun,2019-11-24,17:00,Saint-Étienne,0.5,0–0,1.0,Montpellier,24336.0,Stade Geoffroy-Guichard,Franck Schneider,Match Report,
