,Season,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages ($),League
52,2019-2020,12,Angers,94,27.9,46.4,38,12,8,18,40,58,-18,44,1.16,41.6,52.3,-10.7,-0.28,,"14,512,148",Ligue1
53,2019-2020,17,Reims,72,24.6,44.9,38,9,15,14,42,50,-8,42,1.11,32.7,59.0,-26.3,-0.69,,"9,722,323",Ligue1
54,2019-2020,13,Strasbourg,76,26.8,45.7,38,11,9,18,49,58,-9,42,1.11,52.8,50.7,2.1,0.06,,"14,287,947",Ligue1
55,2019-2020,18,Lorient,85,26.8,44.6,38,11,9,18,50,68,-18,42,1.11,48.6,52.5,-4.0,-0.1,,"9,508,312",Ligue1
56,2019-2020,15,Brest,81,24.9,49.3,38,11,8,19,50,66,-16,41,1.08,50.0,58.1,-8.1,-0.21,,"10,221,691",Ligue1
57,2019-2020,10,Nantes,80,25.8,43.9,38,9,13,16,47,55,-8,40,1.05,49.0,53.6,-4.6,-0.12,,"19,159,301",Ligue1
58,2019-2020,20,Nîmes,90,25.8,44.4,38,9,8,21,40,71,-31,35,0.92,43.3,64.2,-20.9,-0.55,,"8,458,630",Ligue1
59,2019-2020,14,Dijon,83,25.7,46.2,38,4,9,25,25,73,-48,21,0.55,33.7,72.5,-38.8,-1.02,,"10,873,920",Ligue1
60,2020-2021,1,Paris S-G,108,27.8,63.0,38,26,8,4,90,36,54,86,2.26,76.7,39.8,36.9,0.97,41589.0,"440,969,630",Ligue1
61,2020-2021,3,Marseille,89,25.0,61.7,38,21,8,9,63,38,25,71,1.87,58.2,39.0,19.2,0.51,51755.0,"56,774,712",Ligue1
62,2020-2021,4,Monaco,88,24.4,54.1,38,20,9,9,65,40,25,69,1.82,59.3,40.3,19.0,0.5,5877.0,"53,849,858",Ligue1
63,2020-2021,8,Rennes,83,25.3,55.9,38,20,6,12,82,40,42,66,1.74,62.8,42.9,19.8,0.52,25493.0,"24,377,150",Ligue1
64,2020-2021,5,Nice,82,25.0,51.5,38,20,7,11,52,36,16,66,1.74,55.6,42.5,13.1,0.35,16055.0,"29,656,151",Ligue1
65,2020-2021,11,Strasbourg,77,27.0,49.5,38,17,12,9,60,43,17,63,1.66,55.6,43.5,12.1,0.32,23555.0,"14,094,315",Ligue1
66,2020-2021,18,Lens,80,26.1,50.7,38,17,11,10,62,48,14,62,1.63,50.2,42.7,7.5,0.2,28950.0,"10,038,249",Ligue1
67,2020-2021,2,Lyon,88,25.6,58.4,38,17,11,10,66,51,15,61,1.61,66.9,54.6,12.4,0.33,32329.0,"69,656,285",Ligue1
68,2020-2021,10,Nantes,84,26.1,43.9,38,15,10,13,55,48,7,55,1.45,45.5,52.7,-7.2,-0.19,20803.0,"19,352,931",Ligue1
69,2020-2021,6,Lille,77,26.1,50.8,38,14,13,11,48,48,0,55,1.45,50.5,39.9,10.6,0.28,34346.0,"28,637,040",Ligue1
70,2020-2021,16,Brest,80,25.4,43.9,38,13,9,16,49,57,-8,48,1.26,43.4,56.3,-12.8,-0.34,11804.0,"10,670,099",Ligue1
