,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
72,Regular season,7.0,Wed,2018-09-26,19:00,Caen,0.8,2–2,2.3,Montpellier,14402.0,Stade Michel d'Ornano,Antony Gautier,Match Report,
73,Regular season,7.0,Wed,2018-09-26,19:00,Marseille,1.4,3–2,0.8,Strasbourg,47099.0,Orange Vélodrome,François Letexier,Match Report,
74,Regular season,7.0,Wed,2018-09-26,19:00,Dijon,1.6,0–3,2.5,Lyon,14651.0,Stade Gaston Gérard,Jérôme Miguelgorry,Match Report,
75,Regular season,7.0,Wed,2018-09-26,21:00,Paris S-G,3.5,4–1,0.4,Reims,47237.0,Parc des Princes,Olivier Thual,Match Report,
76,,,,,,,,,,,,,,,
77,Regular season,8.0,Fri,2018-09-28,20:45,Saint-Étienne,1.6,2–0,2.1,Monaco,26486.0,Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
78,Regular season,8.0,Sat,2018-09-29,17:15,Nice,0.5,0–3,2.6,Paris S-G,33138.0,Stade de Nice,Clément Turpin,Match Report,
79,Regular season,8.0,Sat,2018-09-29,20:00,Angers,0.5,0–1,1.5,Guingamp,9483.0,Stade Raymond Kopa,Nicolas Rainville,Match Report,
80,Regular season,8.0,Sat,2018-09-29,20:00,Reims,0.9,0–0,0.3,Bordeaux,13406.0,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
81,Regular season,8.0,Sat,2018-09-29,20:00,Lyon,2.2,1–1,1.2,Nantes,50319.0,Groupama Stadium,Franck Schneider,Match Report,
82,Regular season,8.0,Sat,2018-09-29,20:00,Caen,1.5,1–0,0.3,Amiens,15007.0,Stade Michel d'Ornano,Benoît Bastien,Match Report,
83,Regular season,8.0,Sat,2018-09-29,20:00,Strasbourg,1.0,3–0,1.1,Dijon,25060.0,Stade de la Meinau,Eric Wattellier,Match Report,
84,Regular season,8.0,Sun,2018-09-30,15:00,Rennes,2.7,1–1,0.3,Toulouse,21173.0,Roazhon Park,Thomas Léonard,Match Report,
85,Regular season,8.0,Sun,2018-09-30,17:00,Montpellier,2.5,3–0,1.0,Nîmes,20054.0,Stade de la Mosson,Ruddy Buquet,Match Report,
86,Regular season,8.0,Sun,2018-09-30,21:00,Lille,2.8,3–0,0.5,Marseille,41623.0,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
87,,,,,,,,,,,,,,,
88,Regular season,9.0,Fri,2018-10-05,20:45,Toulouse,1.0,1–1,1.0,Nice,14162.0,Stadium Municipal,Willy Delajod,Match Report,
89,Regular season,9.0,Sat,2018-10-06,17:00,Lille,0.8,3–1,1.3,Saint-Étienne,31263.0,Stade Pierre-Mauroy,Jérôme Miguelgorry,Match Report,
90,Regular season,9.0,Sat,2018-10-06,20:00,Amiens,0.3,1–0,0.5,Dijon,10194.0,Stade de la Licorne,Florent Batta,Match Report,
91,Regular season,9.0,Sat,2018-10-06,20:00,Nîmes,0.9,0–0,1.2,Reims,12958.0,Stade des Costières,Karim Abed,Match Report,
92,Regular season,9.0,Sat,2018-10-06,20:00,Guingamp,0.8,1–1,1.2,Montpellier,13643.0,Stade du Roudourou,Jeremy Stinat,Match Report,
93,Regular season,9.0,Sat,2018-10-06,20:00,Angers,2.5,2–2,1.3,Strasbourg,8930.0,Stade Raymond Kopa,Johan Hamel,Match Report,
94,Regular season,9.0,Sun,2018-10-07,15:00,Bordeaux,1.7,3–0,0.6,Nantes,18307.0,Stade Matmut-Atlantique,François Letexier,Match Report,
95,Regular season,9.0,Sun,2018-10-07,17:00,Marseille,1.6,2–0,0.7,Caen,55935.0,Orange Vélodrome,Benoît Millot,Match Report,
96,Regular season,9.0,Sun,2018-10-07,17:00,Monaco,0.4,1–2,1.1,Rennes,6268.0,Stade Louis II.,Olivier Thual,Match Report,
97,Regular season,9.0,Sun,2018-10-07,21:00,Paris S-G,3.6,5–0,1.5,Lyon,47443.0,Parc des Princes,Antony Gautier,Match Report,
98,,,,,,,,,,,,,,,
99,Regular season,10.0,Fri,2018-10-19,20:45,Lyon,1.9,2–0,1.4,Nîmes,42896.0,Groupama Stadium,Olivier Thual,Match Report,
100,Regular season,10.0,Sat,2018-10-20,17:00,Paris S-G,2.4,5–0,0.7,Amiens,47497.0,Parc des Princes,Mikael Lesage,Match Report,
101,Regular season,10.0,Sat,2018-10-20,20:00,Reims,1.1,1–1,1.7,Angers,10954.0,Stade Auguste-Delaune II,Eric Wattellier,Match Report,
102,Regular season,10.0,Sat,2018-10-20,20:00,Nantes,2.5,4–0,0.5,Toulouse,22613.0,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
103,Regular season,10.0,Sat,2018-10-20,20:00,Caen,0.4,0–0,0.4,Guingamp,16009.0,Stade Michel d'Ornano,Hakim Ben El Hadj Salem,Match Report,
104,Regular season,10.0,Sat,2018-10-20,20:00,Dijon,1.6,1–2,2.0,Lille,13004.0,Stade Gaston Gérard,Thomas Léonard,Match Report,
105,Regular season,10.0,Sat,2018-10-20,20:00,Strasbourg,0.9,2–1,1.5,Monaco,25358.0,Stade de la Meinau,Nicolas Rainville,Match Report,
106,Regular season,10.0,Sun,2018-10-21,15:00,Montpellier,1.9,2–0,1.0,Bordeaux,12491.0,Stade de la Mosson,Franck Schneider,Match Report,
107,Regular season,10.0,Sun,2018-10-21,17:00,Saint-Étienne,1.8,1–1,1.9,Rennes,29557.0,Stade Geoffroy-Guichard,Clément Turpin,Match Report,
108,Regular season,10.0,Sun,2018-10-21,21:00,Nice,0.7,0–1,0.5,Marseille,30754.0,Stade de Nice,Amaury Delerue,Match Report,
109,,,,,,,,,,,,,,,
110,Regular season,11.0,Fri,2018-10-26,20:45,Nîmes,1.3,1–1,0.8,Saint-Étienne,15412.0,Stade des Costières,François Letexier,Match Report,
