,Season,Rank,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,League
102,2020-2021,QF,Porto,10.0,6.0,1.0,3.0,15.0,9.0,6.0,19.0,12.5,15.1,-2.6,-0.26,490.0,Sérgio Oliveira - 5,Agustín Marchesín,UEFA
103,2020-2021,QF,Dortmund,10.0,5.0,2.0,3.0,19.0,13.0,6.0,17.0,14.4,13.6,0.8,0.08,,Erling Haaland - 10,Marwin Hitz,UEFA
104,2020-2021,R16,Juventus,8.0,6.0,0.0,2.0,18.0,8.0,10.0,18.0,15.8,9.8,6.0,0.76,,Álvaro Morata - 6,Wojciech Szczęsny,UEFA
105,2020-2021,R16,Barcelona,8.0,5.0,1.0,2.0,18.0,10.0,8.0,16.0,20.4,12.9,7.5,0.94,,Lionel Messi - 5,Marc-André ter Stegen,UEFA
106,2020-2021,R16,Sevilla,8.0,4.0,2.0,2.0,13.0,13.0,0.0,14.0,12.1,11.1,1.0,0.12,,Youssef En-Nesyri - 6,Yassine Bounou,UEFA
107,2020-2021,R16,RB Leipzig,8.0,4.0,0.0,4.0,11.0,16.0,-5.0,12.0,10.6,12.8,-2.2,-0.27,250.0,Angeliño - 3,Péter Gulácsi,UEFA
108,2020-2021,R16,Atalanta,8.0,3.0,2.0,3.0,11.0,12.0,-1.0,11.0,11.7,10.4,1.3,0.16,,"Luis Muriel, Duván Zapata - 3",Marco Sportiello,UEFA
109,2020-2021,R16,Lazio,8.0,2.0,4.0,2.0,13.0,13.0,0.0,10.0,13.1,11.6,1.5,0.19,250.0,Ciro Immobile - 5,Pepe Reina,UEFA
110,2020-2021,R16,Atlético Madrid,8.0,2.0,3.0,3.0,7.0,11.0,-4.0,9.0,9.2,10.3,-1.1,-0.14,,João Félix - 3,Jan Oblak,UEFA
111,2020-2021,R16,M'Gladbach,8.0,2.0,2.0,4.0,16.0,13.0,3.0,8.0,11.6,13.8,-2.3,-0.28,,Alassane Pléa - 5,Yann Sommer,UEFA
112,2020-2021,GR,Manchester Utd,6.0,3.0,0.0,3.0,15.0,10.0,5.0,9.0,11.5,8.4,3.1,0.51,374.0,Marcus Rashford - 6,David de Gea,UEFA
113,2020-2021,GR,Club Brugge,6.0,2.0,2.0,2.0,8.0,10.0,-2.0,8.0,8.5,9.3,-0.8,-0.13,,Hans Vanaken - 3,Simon Mignolet,UEFA
114,2020-2021,GR,Shakhtar,6.0,2.0,2.0,2.0,5.0,12.0,-7.0,8.0,4.7,11.0,-6.3,-1.05,3393.0,Manor Solomon - 2,Anatolii Trubin,UEFA
115,2020-2021,GR,Ajax,6.0,2.0,1.0,3.0,7.0,7.0,0.0,7.0,8.1,8.0,0.0,0.01,,Dušan Tadić - 2,André Onana,UEFA
116,2020-2021,GR,Inter,6.0,1.0,3.0,2.0,7.0,9.0,-2.0,6.0,8.3,6.5,1.8,0.3,333.0,Romelu Lukaku - 4,Samir Handanović,UEFA
117,2020-2021,GR,Krasnodar,6.0,1.0,2.0,3.0,6.0,11.0,-5.0,5.0,6.4,11.9,-5.5,-0.92,9948.0,Marcus Berg - 2,Matvei Safonov,UEFA
118,2020-2021,GR,RB Salzburg,6.0,1.0,1.0,4.0,10.0,17.0,-7.0,4.0,11.2,9.3,2.0,0.33,1000.0,Mergim Berisha - 4,Cican Stankovic,UEFA
119,2020-2021,GR,Dynamo Kyiv,6.0,1.0,1.0,4.0,4.0,13.0,-9.0,4.0,6.3,13.0,-6.7,-1.12,4950.0,Viktor Tsyhankov - 2,Heorhiy Bushchan,UEFA
120,2020-2021,GR,Loko Moscow,6.0,0.0,3.0,3.0,5.0,10.0,-5.0,3.0,4.9,11.1,-6.2,-1.03,7701.0,Anton Miranchuk - 3,Guilherme Marinato,UEFA
